,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec,eqc_low,eqc_mid,eqc_high,eqc_membership,eqc_degree,coec_low,coec_mid,coec_high,coec_membership,coec_degree
40263,521,41704,394703,6888142,2,0,429,23,0.84,0.44,0.0,0.38,0.62,eqc_high,0.62,0.07,0.9,0.03,coec_mid,0.9
40264,521,41704,391507,6888340,2,0,325,25,0.52,0.01,0.0,0.89,0.11,eqc_mid,0.89,0.98,0.02,0.0,coec_low,0.98
40265,521,41704,394789,6888136,2,0,520,22,0.7,0.05,0.0,0.6,0.4,eqc_mid,0.6,0.89,0.11,0.0,coec_low,0.89
40266,521,42266,426160,7058927,2,0,79,5,0.68,0.24,0.0,0.63,0.37,eqc_mid,0.63,0.47,0.53,0.0,coec_mid,0.53
40267,521,42266,424530,7059712,2,0,148,11,0.7,0.49,0.0,0.6,0.4,eqc_mid,0.6,0.01,0.92,0.07,coec_mid,0.92
40268,521,28122,257731,3985482,3,0,218,14,0.6,0.19,0.0,0.76,0.24,eqc_mid,0.76,0.58,0.42,0.0,coec_low,0.58
40269,521,28122,257766,3985341,2,0,257,11,0.62,0.15,0.0,0.73,0.27,eqc_mid,0.73,0.67,0.33,0.0,coec_low,0.67
40270,521,28131,257879,3991840,2,0,285,5,0.42,0.41,0.09,0.9,0.02,eqc_mid,0.9,0.1,0.89,0.01,coec_mid,0.89
40271,521,28131,257870,3989855,2,0,83,5,0.82,0.56,0.0,0.41,0.59,eqc_high,0.59,0.0,0.82,0.18,coec_mid,0.82
40272,521,42300,417450,7065514,2,0,421,30,0.14,0.02,0.69,0.31,0.0,eqc_low,0.69,0.96,0.04,0.0,coec_low,0.96
